ID,Type,Section,Requirement,Tested,Notes
M001,MUST,1.1 JSON-RPC Message Format,"All messages MUST follow JSON-RPC 2.0 specification",,
M002,MUST,1.1.1 Request Format,"Requests MUST include a string or integer ID (not null)",,
M003,MUST,1.1.1 Request Format,"Request IDs MUST NOT be null",,
M004,MUST,1.1.1 Request Format,"Request IDs MUST NOT have been previously used by the requestor within the same session",,
M005,MUST,1.1.1 Request Format,"Requests MUST include a method string",,
M006,MUST,1.1.2 Response Format,"Responses MUST include the same ID as the corresponding request",,
M007,MUST,1.1.2 Response Format,"Responses MUST include either a result or an error (not both)",,
M008,MUST,1.1.2 Response Format,"Errors MUST include an error code and message",,
M009,MUST,1.1.3 Notification Format,"Notifications MUST NOT include an ID",,
M010,MUST,1.1.3 Notification Format,"Notifications MUST include a method string",,
M011,MUST,1.1.4 Batching,"Implementations MUST support receiving JSON-RPC batches",,
M012,MUST,1.2.1 STDIO Transport,"Client MUST launch the server as a subprocess",,
M013,MUST,1.2.1 STDIO Transport,"Server MUST read from stdin and write to stdout",,
M014,MUST,1.2.1 STDIO Transport,"Messages MUST be delimited by newlines",,
M015,MUST,1.2.1 STDIO Transport,"Messages MUST NOT contain embedded newlines",,
M016,MUST,1.2.1 STDIO Transport,"Server MUST NOT write anything to stdout that is not a valid MCP message",,
M017,MUST,1.2.1 STDIO Transport,"Client MUST NOT write anything to stdin that is not a valid MCP message",,
M018,MUST,1.2.2 Streamable HTTP Transport,"Server MUST provide a single HTTP endpoint supporting both POST and GET methods",,
M019,MUST,1.2.2 Streamable HTTP Transport,"Client MUST use HTTP POST to send messages",,
M020,MUST,1.2.2 Streamable HTTP Transport,"Client MUST include Accept header with both application/json and text/event-stream",,
M021,MUST,1.2.2 Streamable HTTP Transport,"Request body MUST be a single JSON-RPC message or batch",,
M022,MUST,1.2.2 Streamable HTTP Transport,"If sending only responses/notifications, server MUST return HTTP 202 Accepted with no body",,
M023,MUST,1.2.2 Streamable HTTP Transport,"If sending requests, server MUST return either Content-Type: text/event-stream or Content-Type: application/json",,
M024,MUST,1.2.2 Streamable HTTP Transport,"Client MUST include Accept header with text/event-stream for GET requests",,
M025,MUST,1.2.2 Streamable HTTP Transport,"Server MUST either return text/event-stream or HTTP 405 Method Not Allowed for GET requests",,
M026,MUST,1.2.2 Streamable HTTP Transport,"Server MUST NOT send responses on SSE stream unless resuming previous client request",,
M027,MUST,1.2.2 Streamable HTTP Transport,"Server MUST send each message on only one connected stream",,
M028,MUST,1.2.3 Session Management,"Session ID MUST only contain visible ASCII characters (0x21 to 0x7E)",,
M029,MUST,1.2.3 Session Management,"Clients MUST include session ID in all subsequent requests if provided",,
M030,MUST,1.3.1 Authorization,"Servers MUST return HTTP 401 Unauthorized when authorization is required",,
M031,MUST,1.3.2 OAuth Implementation,"MCP auth implementations MUST implement OAuth 2.1 with appropriate security",,
M032,MUST,1.3.2 OAuth Implementation,"Clients MUST implement OAuth 2.0 Authorization Server Metadata",,
M033,MUST,1.3.2 OAuth Implementation,"Clients MUST follow the OAuth 2.0 Authorization Server Metadata protocol",,
M034,MUST,1.3.3 Authorization Server Discovery,"Authorization base URL MUST be determined by discarding path components from MCP server URL",,
M035,MUST,1.3.3 Authorization Server Discovery,"For servers without metadata discovery, clients MUST use default endpoint paths",,
M036,MUST,1.3.4 Access Token Usage,"MCP clients MUST use Authorization request header field for access tokens",,
M037,MUST,1.3.4 Access Token Usage,"Access tokens MUST NOT be included in URI query string",,
M038,MUST,1.3.4 Access Token Usage,"Resource servers MUST validate access tokens and respond with HTTP 401 for invalid tokens",,
M039,MUST,1.4.1 Initialization,"Client MUST send initialize request as first interaction",,
M040,MUST,1.4.1 Initialization,"Initialize request MUST include protocol version, client capabilities, and client info",,
M041,MUST,1.4.1 Initialization,"Initialize request MUST NOT be part of a JSON-RPC batch",,
M042,MUST,1.4.1 Initialization,"Server MUST respond with protocol version, server capabilities, and server info",,
M043,MUST,1.4.1 Initialization,"After successful initialization, client MUST send initialized notification",,
M044,MUST,1.4.2 Version Negotiation,"Client MUST send a protocol version it supports",,
M045,MUST,1.4.2 Version Negotiation,"If server supports requested version, it MUST respond with same version",,
M046,MUST,1.4.2 Version Negotiation,"Otherwise, server MUST respond with another supported version",,
M047,MUST,1.4.3 Capability Negotiation,"Client and server MUST declare capabilities during initialization",,
M048,MUST,2.1.1 Resources Capabilities,"Servers supporting resources MUST declare resources capability",,
M049,MUST,2.1.2 Resources List,"Server response MUST include resources array",,
M050,MUST,2.1.2 Resources List,"Each resource MUST include uri and name",,
M051,MUST,2.1.3 Resource Content,"Server response MUST include contents array",,
M052,MUST,2.1.3 Resource Content,"Each content item MUST include uri and either text or blob",,
M053,MUST,2.1.4 Resource Templates,"Server response MUST include resourceTemplates array",,
M054,MUST,2.1.4 Resource Templates,"Each template MUST include uriTemplate",,
M055,MUST,2.1.5 Resource Subscriptions,"Server MUST send notifications/resources/updated when resource changes",,
M056,MUST,2.1.5 Resource Subscriptions,"Server MUST support subscribe capability to use this feature",,
M057,MUST,2.1.6 List Changed Notification,"Server MUST support listChanged capability to use this feature",,
M058,MUST,2.2.1 Prompts Capabilities,"Servers supporting prompts MUST declare prompts capability",,
M059,MUST,2.2.2 Prompts List,"Server response MUST include prompts array",,
M060,MUST,2.2.2 Prompts List,"Each prompt MUST include name",,
M061,MUST,2.2.3 Get Prompt,"Server response MUST include messages array",,
M062,MUST,2.2.3 Get Prompt,"Each message MUST include role and content",,
M063,MUST,2.2.3 Get Prompt,"Content MUST be one of: text, image, audio, or resource",,
M064,MUST,2.2.4 List Changed Notification,"Server MUST support listChanged capability to use this feature",,
M065,MUST,2.3.1 Tools Capabilities,"Servers supporting tools MUST declare tools capability",,
M066,MUST,2.3.2 Tools List,"Server response MUST include tools array",,
M067,MUST,2.3.2 Tools List,"Each tool MUST include name, description, inputSchema",,
M068,MUST,2.3.3 Tool Call,"Server response MUST include content array and isError flag",,
M069,MUST,2.3.3 Tool Call,"Each content item MUST be one of: text, image, audio, or resource",,
M070,MUST,2.3.4 List Changed Notification,"Server MUST support listChanged capability to use this feature",,
M071,MUST,3.1.1 Roots Capabilities,"Clients supporting roots MUST declare roots capability",,
M072,MUST,3.1.2 Roots List,"Client response MUST include roots array",,
M073,MUST,3.1.2 Roots List,"Each root MUST include uri",,
M074,MUST,3.1.3 List Changed Notification,"Client MUST send notifications/roots/list_changed when root list changes",,
M075,MUST,3.1.3 List Changed Notification,"Client MUST support listChanged capability to use this feature",,
M076,MUST,3.2.1 Sampling Capabilities,"Clients supporting sampling MUST declare sampling capability",,
M077,MUST,3.2.2 Create Message,"Client response MUST include role, content, model, stopReason",,
M078,MUST,3.2.2 Create Message,"Content MUST be one of: text, image, or audio",,
